/usr/local/clang/3.9.1/bin/clang++
/usr/local/clang/3.9.1/lib:/usr/local/gcc/6.3.0/lib:/usr/local/gcc/6.3.0/lib64
copy, wrapper_strategy, uint32_t,  0.9991, 100
copy, wrapper_strategy, uint32_t,  0.9917, 200
copy, wrapper_strategy, uint32_t,  0.9976, 500
copy, wrapper_strategy, uint32_t,  0.9975, 1000
copy, wrapper_strategy, uint32_t,  0.9973, 2000
copy, wrapper_strategy, uint32_t,  0.9954, 5000
copy, wrapper_strategy, uint32_t,  1.0005, 10000
copy, wrapper_strategy, uint32_t,  1.0002, 20000
copy, wrapper_strategy, uint32_t,  0.9996, 50000
copy, wrapper_strategy, uint32_t,  0.9994, 100000
copy, wrapper_strategy, uint32_t,  0.9997, 200000
copy, wrapper_strategy, uint32_t,  1.0002, 500000
copy, wrapper_strategy, uint32_t,  0.9963, 1000000

copy, wrapper_strategy, uint64_t,  0.9996, 100
copy, wrapper_strategy, uint64_t,  0.9988, 200
copy, wrapper_strategy, uint64_t,  0.9999, 500
copy, wrapper_strategy, uint64_t,  0.9988, 1000
copy, wrapper_strategy, uint64_t,  0.9972, 2000
copy, wrapper_strategy, uint64_t,  0.9982, 5000
copy, wrapper_strategy, uint64_t,  1.0003, 10000
copy, wrapper_strategy, uint64_t,  0.9996, 20000
copy, wrapper_strategy, uint64_t,  0.9990, 50000
copy, wrapper_strategy, uint64_t,  0.9919, 100000
copy, wrapper_strategy, uint64_t,  0.9958, 200000
copy, wrapper_strategy, uint64_t,  1.0002, 500000
copy, wrapper_strategy, uint64_t,  0.9965, 1000000

copy, wrapper_strategy, string,  0.9952, 100
copy, wrapper_strategy, string,  1.0017, 200
copy, wrapper_strategy, string,  0.9799, 500
copy, wrapper_strategy, string,  0.9918, 1000
copy, wrapper_strategy, string,  0.9992, 2000
copy, wrapper_strategy, string,  0.9998, 5000
copy, wrapper_strategy, string,  0.9989, 10000
copy, wrapper_strategy, string,  0.9982, 20000
copy, wrapper_strategy, string,  0.9975, 50000
copy, wrapper_strategy, string,  0.9997, 100000
copy, wrapper_strategy, string,  1.0254, 200000
copy, wrapper_strategy, string,  0.9889, 500000
copy, wrapper_strategy, string,  0.9974, 1000000

copy, wrapper_strategy, test_struct,  1.0436, 100
copy, wrapper_strategy, test_struct,  0.9815, 200
copy, wrapper_strategy, test_struct,  0.9909, 500
copy, wrapper_strategy, test_struct,  1.0023, 1000
