/usr/bin/g++

copy, wrapper_strategy, uint32_t,  0.9984, 100
copy, wrapper_strategy, uint32_t,  0.9965, 200
copy, wrapper_strategy, uint32_t,  0.9942, 500
copy, wrapper_strategy, uint32_t,  0.9953, 1000
copy, wrapper_strategy, uint32_t,  0.9920, 2000
copy, wrapper_strategy, uint32_t,   1.000, 5000
copy, wrapper_strategy, uint32_t,  0.9977, 10000
copy, wrapper_strategy, uint32_t,  0.9997, 20000
copy, wrapper_strategy, uint32_t,  0.9974, 50000
copy, wrapper_strategy, uint32_t,  0.9967, 100000
copy, wrapper_strategy, uint32_t,  1.0006, 200000
copy, wrapper_strategy, uint32_t,  0.9913, 500000
copy, wrapper_strategy, uint32_t,  0.9793, 1000000

copy, wrapper_strategy, uint64_t,  0.9962, 100
copy, wrapper_strategy, uint64_t,  0.9910, 200
copy, wrapper_strategy, uint64_t,  0.9944, 500
copy, wrapper_strategy, uint64_t,  0.9921, 1000
copy, wrapper_strategy, uint64_t,  0.9768, 2000
copy, wrapper_strategy, uint64_t,  0.9870, 5000
copy, wrapper_strategy, uint64_t,  0.9956, 10000
copy, wrapper_strategy, uint64_t,  1.0010, 20000
copy, wrapper_strategy, uint64_t,  0.9968, 50000
copy, wrapper_strategy, uint64_t,  0.9997, 100000
copy, wrapper_strategy, uint64_t,  0.9993, 200000
copy, wrapper_strategy, uint64_t,  0.9961, 500000
copy, wrapper_strategy, uint64_t,  0.9988, 1000000

copy, wrapper_strategy, string,  0.9991, 100
copy, wrapper_strategy, string,  0.9986, 200
copy, wrapper_strategy, string,  0.9770, 500
copy, wrapper_strategy, string,  0.9906, 1000
copy, wrapper_strategy, string,  0.9967, 2000
copy, wrapper_strategy, string,  0.9994, 5000
copy, wrapper_strategy, string,  0.9972, 10000
copy, wrapper_strategy, string,  0.9889, 20000
copy, wrapper_strategy, string,  0.9909, 50000
copy, wrapper_strategy, string,  0.9784, 100000
copy, wrapper_strategy, string,  0.9678, 200000
copy, wrapper_strategy, string,  0.9859, 500000
copy, wrapper_strategy, string,  0.9974, 1000000

copy, wrapper_strategy, test_struct,  1.0068, 100
copy, wrapper_strategy, test_struct,  0.9992, 200
copy, wrapper_strategy, test_struct,  0.9994, 500
copy, wrapper_strategy, test_struct,  0.9983, 1000
copy, wrapper_strategy, test_struct,  0.9991, 2000
copy, wrapper_strategy, test_struct,  0.9949, 5000
copy, wrapper_strategy, test_struct,  0.9937, 10000
copy, wrapper_strategy, test_struct,  0.9963, 20000
copy, wrapper_strategy, test_struct,  0.9612, 50000
copy, wrapper_strategy, test_struct,  0.8198, 100000
copy, wrapper_strategy, test_struct,  0.7889, 200000
copy, wrapper_strategy, test_struct,  1.0032, 500000
copy, wrapper_strategy, test_struct,  0.9476, 1000000

copy, based_2dxl_strategy, uint32_t,  0.9917, 100
copy, based_2dxl_strategy, uint32_t,  0.9968, 200
copy, based_2dxl_strategy, uint32_t,  0.9921, 500
copy, based_2dxl_strategy, uint32_t,  0.9935, 1000
copy, based_2dxl_strategy, uint32_t,  0.9945, 2000
copy, based_2dxl_strategy, uint32_t,  0.9985, 5000
copy, based_2dxl_strategy, uint32_t,  0.9950, 10000
copy, based_2dxl_strategy, uint32_t,  0.9970, 20000
copy, based_2dxl_strategy, uint32_t,  0.9993, 50000
copy, based_2dxl_strategy, uint32_t,  1.0014, 100000
copy, based_2dxl_strategy, uint32_t,  0.9910, 200000
copy, based_2dxl_strategy, uint32_t,  0.9555, 500000
copy, based_2dxl_strategy, uint32_t,  0.9310, 1000000

copy, based_2dxl_strategy, uint64_t,  0.9969, 100
copy, based_2dxl_strategy, uint64_t,  0.9881, 200
copy, based_2dxl_strategy, uint64_t,  0.9979, 500
copy, based_2dxl_strategy, uint64_t,  0.9912, 1000
copy, based_2dxl_strategy, uint64_t,  0.9849, 2000
copy, based_2dxl_strategy, uint64_t,  0.9973, 5000
copy, based_2dxl_strategy, uint64_t,  0.9973, 10000
copy, based_2dxl_strategy, uint64_t,  0.9987, 20000
copy, based_2dxl_strategy, uint64_t,  0.9933, 50000
copy, based_2dxl_strategy, uint64_t,  0.9935, 100000
copy, based_2dxl_strategy, uint64_t,  0.9530, 200000
copy, based_2dxl_strategy, uint64_t,  0.8756, 500000
copy, based_2dxl_strategy, uint64_t,  0.9270, 1000000

copy, based_2dxl_strategy, string,  1.0371, 100
copy, based_2dxl_strategy, string,  1.0443, 200
copy, based_2dxl_strategy, string,  1.0540, 500
copy, based_2dxl_strategy, string,  1.0811, 1000
copy, based_2dxl_strategy, string,  1.0941, 2000
copy, based_2dxl_strategy, string,  1.1036, 5000
copy, based_2dxl_strategy, string,  1.1029, 10000
copy, based_2dxl_strategy, string,  1.1156, 20000
copy, based_2dxl_strategy, string,  1.1037, 50000
copy, based_2dxl_strategy, string,  1.0421, 100000
copy, based_2dxl_strategy, string,  1.0508, 200000
copy, based_2dxl_strategy, string,  1.0638, 500000
copy, based_2dxl_strategy, string,  1.0881, 1000000

copy, based_2dxl_strategy, test_struct,  0.9998, 100
copy, based_2dxl_strategy, test_struct,  1.0083, 200
copy, based_2dxl_strategy, test_struct,  1.0014, 500
copy, based_2dxl_strategy, test_struct,  0.9982, 1000
copy, based_2dxl_strategy, test_struct,  0.9948, 2000
copy, based_2dxl_strategy, test_struct,  0.9982, 5000
copy, based_2dxl_strategy, test_struct,  0.9989, 10000
copy, based_2dxl_strategy, test_struct,  0.9972, 20000
copy, based_2dxl_strategy, test_struct,  0.9061, 50000
copy, based_2dxl_strategy, test_struct,  0.8023, 100000
copy, based_2dxl_strategy, test_struct,  0.9134, 200000
copy, based_2dxl_strategy, test_struct,  1.0134, 500000
copy, based_2dxl_strategy, test_struct,  0.9994, 1000000

copy, based_2d_strategy, uint32_t,  1.0002, 100
copy, based_2d_strategy, uint32_t,  1.0007, 200
copy, based_2d_strategy, uint32_t,  1.1264, 500
copy, based_2d_strategy, uint32_t,  1.1061, 1000
copy, based_2d_strategy, uint32_t,  1.1676, 2000
copy, based_2d_strategy, uint32_t,  1.0728, 5000
copy, based_2d_strategy, uint32_t,  1.0830, 10000
copy, based_2d_strategy, uint32_t,  1.0830, 20000
copy, based_2d_strategy, uint32_t,  1.0806, 50000
copy, based_2d_strategy, uint32_t,  1.0633, 100000
copy, based_2d_strategy, uint32_t,  1.0611, 200000
copy, based_2d_strategy, uint32_t,  1.0160, 500000
copy, based_2d_strategy, uint32_t,  0.9457, 1000000

copy, based_2d_strategy, uint64_t,  0.9972, 100
copy, based_2d_strategy, uint64_t,  1.0878, 200
copy, based_2d_strategy, uint64_t,  1.0949, 500
copy, based_2d_strategy, uint64_t,  1.1186, 1000
copy, based_2d_strategy, uint64_t,  1.0592, 2000
copy, based_2d_strategy, uint64_t,  1.0538, 5000
copy, based_2d_strategy, uint64_t,  1.0564, 10000
copy, based_2d_strategy, uint64_t,  1.0773, 20000
copy, based_2d_strategy, uint64_t,  1.0856, 50000
copy, based_2d_strategy, uint64_t,  1.0723, 100000
copy, based_2d_strategy, uint64_t,  1.0875, 200000
copy, based_2d_strategy, uint64_t,  0.9287, 500000
copy, based_2d_strategy, uint64_t,  0.7962, 1000000

copy, based_2d_strategy, string,  1.0506, 100
copy, based_2d_strategy, string,  1.0477, 200
copy, based_2d_strategy, string,  1.0666, 500
copy, based_2d_strategy, string,  1.0924, 1000
copy, based_2d_strategy, string,  1.1144, 2000
copy, based_2d_strategy, string,  1.1304, 5000
copy, based_2d_strategy, string,  1.1339, 10000
copy, based_2d_strategy, string,  1.1366, 20000
copy, based_2d_strategy, string,  1.1309, 50000
copy, based_2d_strategy, string,  1.1036, 100000
copy, based_2d_strategy, string,  1.0386, 200000
copy, based_2d_strategy, string,  0.9957, 500000
copy, based_2d_strategy, string,  1.1058, 1000000

copy, based_2d_strategy, test_struct,  1.0222, 100
copy, based_2d_strategy, test_struct,  1.1309, 200
copy, based_2d_strategy, test_struct,  0.9969, 500
copy, based_2d_strategy, test_struct,  0.9974, 1000
copy, based_2d_strategy, test_struct,  0.9910, 2000
copy, based_2d_strategy, test_struct,  0.9973, 5000
copy, based_2d_strategy, test_struct,  0.9977, 10000
copy, based_2d_strategy, test_struct,  0.9940, 20000
copy, based_2d_strategy, test_struct,  0.9733, 50000
copy, based_2d_strategy, test_struct,  0.9263, 100000
copy, based_2d_strategy, test_struct,  0.9614, 200000
copy, based_2d_strategy, test_struct,  1.0032, 500000
copy, based_2d_strategy, test_struct,  0.9992, 1000000

copy, based_1d_strategy, uint32_t,  1.1974, 100
copy, based_1d_strategy, uint32_t,  1.2381, 200
copy, based_1d_strategy, uint32_t,  1.2130, 500
copy, based_1d_strategy, uint32_t,  1.1854, 1000
copy, based_1d_strategy, uint32_t,  1.2005, 2000
copy, based_1d_strategy, uint32_t,  1.0806, 5000
copy, based_1d_strategy, uint32_t,  1.0931, 10000
copy, based_1d_strategy, uint32_t,  1.0933, 20000
copy, based_1d_strategy, uint32_t,  1.0878, 50000
copy, based_1d_strategy, uint32_t,  1.0829, 100000
copy, based_1d_strategy, uint32_t,  1.0878, 200000
copy, based_1d_strategy, uint32_t,  1.1003, 500000
copy, based_1d_strategy, uint32_t,  1.0742, 1000000

copy, based_1d_strategy, uint64_t,  1.2332, 100
copy, based_1d_strategy, uint64_t,  1.2320, 200
copy, based_1d_strategy, uint64_t,  1.2376, 500
copy, based_1d_strategy, uint64_t,  1.2249, 1000
copy, based_1d_strategy, uint64_t,  1.1124, 2000
copy, based_1d_strategy, uint64_t,  1.0603, 5000
copy, based_1d_strategy, uint64_t,  1.1010, 10000
copy, based_1d_strategy, uint64_t,  1.0818, 20000
copy, based_1d_strategy, uint64_t,  1.0717, 50000
copy, based_1d_strategy, uint64_t,  1.0498, 100000
copy, based_1d_strategy, uint64_t,  1.0318, 200000
copy, based_1d_strategy, uint64_t,  0.9752, 500000
copy, based_1d_strategy, uint64_t,  0.9592, 1000000

copy, based_1d_strategy, string,  1.0378, 100
copy, based_1d_strategy, string,  1.0332, 200
copy, based_1d_strategy, string,  1.0402, 500
copy, based_1d_strategy, string,  1.0674, 1000
copy, based_1d_strategy, string,  1.0792, 2000
copy, based_1d_strategy, string,  1.0849, 5000
copy, based_1d_strategy, string,  1.0973, 10000
copy, based_1d_strategy, string,  1.0929, 20000
copy, based_1d_strategy, string,  1.0882, 50000
copy, based_1d_strategy, string,  1.0489, 100000
copy, based_1d_strategy, string,  0.9608, 200000
copy, based_1d_strategy, string,  1.0563, 500000
copy, based_1d_strategy, string,  1.0384, 1000000

copy, based_1d_strategy, test_struct,  1.1473, 100
copy, based_1d_strategy, test_struct,  1.0241, 200
copy, based_1d_strategy, test_struct,  1.0017, 500
copy, based_1d_strategy, test_struct,  1.0076, 1000
copy, based_1d_strategy, test_struct,  1.0004, 2000
copy, based_1d_strategy, test_struct,  0.9977, 5000
copy, based_1d_strategy, test_struct,  0.9962, 10000
copy, based_1d_strategy, test_struct,  1.0090, 20000
copy, based_1d_strategy, test_struct,  0.9980, 50000
copy, based_1d_strategy, test_struct,  1.0149, 100000
copy, based_1d_strategy, test_struct,  0.9924, 200000
copy, based_1d_strategy, test_struct,  0.9817, 500000
copy, based_1d_strategy, test_struct,  1.0824, 1000000

copy, offset_strategy, uint32_t,   1.000, 100
copy, offset_strategy, uint32_t,  0.9982, 200
copy, offset_strategy, uint32_t,  0.9959, 500
copy, offset_strategy, uint32_t,  1.0008, 1000
copy, offset_strategy, uint32_t,  1.0008, 2000
copy, offset_strategy, uint32_t,  0.9993, 5000
copy, offset_strategy, uint32_t,  1.0001, 10000
copy, offset_strategy, uint32_t,  0.9969, 20000
copy, offset_strategy, uint32_t,  0.9927, 50000
copy, offset_strategy, uint32_t,  1.0016, 100000
copy, offset_strategy, uint32_t,  0.9998, 200000
copy, offset_strategy, uint32_t,  1.0016, 500000
copy, offset_strategy, uint32_t,  0.9965, 1000000

copy, offset_strategy, uint64_t,  1.0386, 100
copy, offset_strategy, uint64_t,  1.0599, 200
copy, offset_strategy, uint64_t,  1.0554, 500
copy, offset_strategy, uint64_t,  1.0605, 1000
copy, offset_strategy, uint64_t,  1.0829, 2000
copy, offset_strategy, uint64_t,  1.0851, 5000
copy, offset_strategy, uint64_t,  1.0845, 10000
copy, offset_strategy, uint64_t,  1.0898, 20000
