/usr/local/gcc/7.1.0/bin/g++
/usr/local/gcc/7.1.0/lib:/usr/local/gcc/7.1.0/lib64
copy, wrapper_strategy, uint32_t,  0.9988, 100
copy, wrapper_strategy, uint32_t,  0.9992, 200
copy, wrapper_strategy, uint32_t,  1.0005, 500
copy, wrapper_strategy, uint32_t,  0.9964, 1000
copy, wrapper_strategy, uint32_t,  0.9979, 2000
copy, wrapper_strategy, uint32_t,  0.9993, 5000
copy, wrapper_strategy, uint32_t,  0.9961, 10000
copy, wrapper_strategy, uint32_t,  0.9976, 20000
copy, wrapper_strategy, uint32_t,  0.9994, 50000
copy, wrapper_strategy, uint32_t,  0.9961, 100000
copy, wrapper_strategy, uint32_t,  0.9855, 200000
copy, wrapper_strategy, uint32_t,  0.9938, 500000
copy, wrapper_strategy, uint32_t,  0.9389, 1000000

copy, wrapper_strategy, uint64_t,  0.9979, 100
copy, wrapper_strategy, uint64_t,  0.9933, 200
copy, wrapper_strategy, uint64_t,  1.0013, 500
copy, wrapper_strategy, uint64_t,  0.9948, 1000
copy, wrapper_strategy, uint64_t,  0.9981, 2000
copy, wrapper_strategy, uint64_t,  1.0012, 5000
copy, wrapper_strategy, uint64_t,  0.9936, 10000
copy, wrapper_strategy, uint64_t,  1.0008, 20000
copy, wrapper_strategy, uint64_t,  0.9978, 50000
copy, wrapper_strategy, uint64_t,  0.9984, 100000
copy, wrapper_strategy, uint64_t,  0.9817, 200000
copy, wrapper_strategy, uint64_t,  0.9524, 500000
copy, wrapper_strategy, uint64_t,  0.8022, 1000000

copy, wrapper_strategy, string,  0.9967, 100
copy, wrapper_strategy, string,  0.9937, 200
copy, wrapper_strategy, string,  0.9910, 500
copy, wrapper_strategy, string,  0.9958, 1000
copy, wrapper_strategy, string,  0.9953, 2000
copy, wrapper_strategy, string,  0.9960, 5000
copy, wrapper_strategy, string,  0.9975, 10000
copy, wrapper_strategy, string,  0.9964, 20000
copy, wrapper_strategy, string,  0.9935, 50000
copy, wrapper_strategy, string,  0.9709, 100000
copy, wrapper_strategy, string,  0.9455, 200000
copy, wrapper_strategy, string,  0.9395, 500000
copy, wrapper_strategy, string,  0.8927, 1000000

copy, wrapper_strategy, test_struct,  1.0252, 100
copy, wrapper_strategy, test_struct,  1.0259, 200
copy, wrapper_strategy, test_struct,  0.9190, 500
copy, wrapper_strategy, test_struct,  0.9921, 1000
copy, wrapper_strategy, test_struct,  1.1347, 2000
copy, wrapper_strategy, test_struct,  0.9836, 5000
copy, wrapper_strategy, test_struct,  1.0042, 10000
copy, wrapper_strategy, test_struct,  1.0191, 20000
copy, wrapper_strategy, test_struct,  0.9225, 50000
copy, wrapper_strategy, test_struct,  0.9166, 100000
copy, wrapper_strategy, test_struct,  0.9647, 200000
copy, wrapper_strategy, test_struct,  0.9591, 500000
copy, wrapper_strategy, test_struct,  0.9944, 1000000

copy, based_2dxl_strategy, uint32_t,  0.9974, 100
copy, based_2dxl_strategy, uint32_t,  1.0004, 200
copy, based_2dxl_strategy, uint32_t,  0.9999, 500
copy, based_2dxl_strategy, uint32_t,  0.9968, 1000
copy, based_2dxl_strategy, uint32_t,  1.0009, 2000
copy, based_2dxl_strategy, uint32_t,  0.9986, 5000
copy, based_2dxl_strategy, uint32_t,  0.9983, 10000
copy, based_2dxl_strategy, uint32_t,  0.9983, 20000
copy, based_2dxl_strategy, uint32_t,  1.0030, 50000
copy, based_2dxl_strategy, uint32_t,  0.9950, 100000
copy, based_2dxl_strategy, uint32_t,  1.0002, 200000
copy, based_2dxl_strategy, uint32_t,  0.9980, 500000
copy, based_2dxl_strategy, uint32_t,  0.9985, 1000000

copy, based_2dxl_strategy, uint64_t,  0.9991, 100
copy, based_2dxl_strategy, uint64_t,  0.9969, 200
copy, based_2dxl_strategy, uint64_t,  0.9950, 500
copy, based_2dxl_strategy, uint64_t,  0.9993, 1000
copy, based_2dxl_strategy, uint64_t,  0.9940, 2000
copy, based_2dxl_strategy, uint64_t,  0.9956, 5000
copy, based_2dxl_strategy, uint64_t,  0.9989, 10000
copy, based_2dxl_strategy, uint64_t,  0.9977, 20000
copy, based_2dxl_strategy, uint64_t,  0.9967, 50000
copy, based_2dxl_strategy, uint64_t,  0.9889, 100000
copy, based_2dxl_strategy, uint64_t,  0.9937, 200000
copy, based_2dxl_strategy, uint64_t,  0.8938, 500000
copy, based_2dxl_strategy, uint64_t,  0.8527, 1000000

copy, based_2dxl_strategy, string,  1.0075, 100
copy, based_2dxl_strategy, string,  1.0068, 200
copy, based_2dxl_strategy, string,  1.0415, 500
copy, based_2dxl_strategy, string,  1.0980, 1000
copy, based_2dxl_strategy, string,  1.1304, 2000
copy, based_2dxl_strategy, string,  1.1152, 5000
copy, based_2dxl_strategy, string,  1.1107, 10000
copy, based_2dxl_strategy, string,  1.1094, 20000
copy, based_2dxl_strategy, string,  1.1043, 50000
copy, based_2dxl_strategy, string,  1.0396, 100000
copy, based_2dxl_strategy, string,  0.9806, 200000
copy, based_2dxl_strategy, string,  1.0242, 500000
copy, based_2dxl_strategy, string,  1.0204, 1000000

copy, based_2dxl_strategy, test_struct,  1.0064, 100
copy, based_2dxl_strategy, test_struct,  0.9524, 200
copy, based_2dxl_strategy, test_struct,  1.1115, 500
copy, based_2dxl_strategy, test_struct,  1.1650, 1000
copy, based_2dxl_strategy, test_struct,  1.1828, 2000
copy, based_2dxl_strategy, test_struct,  1.0043, 5000
copy, based_2dxl_strategy, test_struct,  1.0050, 10000
copy, based_2dxl_strategy, test_struct,  1.0143, 20000
copy, based_2dxl_strategy, test_struct,  1.0034, 50000
copy, based_2dxl_strategy, test_struct,  0.9584, 100000
copy, based_2dxl_strategy, test_struct,  0.9130, 200000
copy, based_2dxl_strategy, test_struct,  0.8165, 500000
copy, based_2dxl_strategy, test_struct,  0.9553, 1000000

copy, based_2d_strategy, uint32_t,  1.0155, 100
copy, based_2d_strategy, uint32_t,  1.0227, 200
copy, based_2d_strategy, uint32_t,  1.1816, 500
copy, based_2d_strategy, uint32_t,  1.1566, 1000
copy, based_2d_strategy, uint32_t,  1.1934, 2000
copy, based_2d_strategy, uint32_t,  1.0398, 5000
copy, based_2d_strategy, uint32_t,  1.0544, 10000
copy, based_2d_strategy, uint32_t,  1.0771, 20000
copy, based_2d_strategy, uint32_t,  1.0689, 50000
copy, based_2d_strategy, uint32_t,  1.0600, 100000
copy, based_2d_strategy, uint32_t,  1.0576, 200000
copy, based_2d_strategy, uint32_t,  1.0528, 500000
copy, based_2d_strategy, uint32_t,  1.0509, 1000000

copy, based_2d_strategy, uint64_t,  1.0215, 100
copy, based_2d_strategy, uint64_t,  1.0410, 200
copy, based_2d_strategy, uint64_t,  1.1522, 500
copy, based_2d_strategy, uint64_t,  1.1697, 1000
copy, based_2d_strategy, uint64_t,  1.1095, 2000
copy, based_2d_strategy, uint64_t,  1.0482, 5000
copy, based_2d_strategy, uint64_t,  1.0513, 10000
copy, based_2d_strategy, uint64_t,  1.0398, 20000
copy, based_2d_strategy, uint64_t,  1.0426, 50000
copy, based_2d_strategy, uint64_t,  1.0446, 100000
copy, based_2d_strategy, uint64_t,  1.0570, 200000
copy, based_2d_strategy, uint64_t,  0.9149, 500000
copy, based_2d_strategy, uint64_t,  0.9708, 1000000

copy, based_2d_strategy, string,  1.0386, 100
copy, based_2d_strategy, string,  1.0445, 200
copy, based_2d_strategy, string,  1.0568, 500
copy, based_2d_strategy, string,  1.1313, 1000
copy, based_2d_strategy, string,  1.1803, 2000
copy, based_2d_strategy, string,  1.1794, 5000
copy, based_2d_strategy, string,  1.1742, 10000
copy, based_2d_strategy, string,  1.1580, 20000
copy, based_2d_strategy, string,  1.1667, 50000
copy, based_2d_strategy, string,  1.0951, 100000
copy, based_2d_strategy, string,  1.2361, 200000
copy, based_2d_strategy, string,  1.0997, 500000
copy, based_2d_strategy, string,  1.1702, 1000000

copy, based_2d_strategy, test_struct,  1.0383, 100
copy, based_2d_strategy, test_struct,  1.0109, 200
copy, based_2d_strategy, test_struct,  1.0522, 500
copy, based_2d_strategy, test_struct,  0.9754, 1000
copy, based_2d_strategy, test_struct,  1.0909, 2000
copy, based_2d_strategy, test_struct,  0.9995, 5000
copy, based_2d_strategy, test_struct,  1.0003, 10000
copy, based_2d_strategy, test_struct,  1.0012, 20000
copy, based_2d_strategy, test_struct,  0.9494, 50000
copy, based_2d_strategy, test_struct,  1.0093, 100000
copy, based_2d_strategy, test_struct,  1.0091, 200000
copy, based_2d_strategy, test_struct,  1.0090, 500000
copy, based_2d_strategy, test_struct,  0.8796, 1000000

copy, based_1d_strategy, uint32_t,  1.0197, 100
copy, based_1d_strategy, uint32_t,  1.0600, 200
copy, based_1d_strategy, uint32_t,  1.1128, 500
copy, based_1d_strategy, uint32_t,  1.0410, 1000
copy, based_1d_strategy, uint32_t,  1.1375, 2000
copy, based_1d_strategy, uint32_t,  1.0855, 5000
copy, based_1d_strategy, uint32_t,  1.0822, 10000
copy, based_1d_strategy, uint32_t,  1.1069, 20000
copy, based_1d_strategy, uint32_t,  1.0911, 50000
copy, based_1d_strategy, uint32_t,  1.0835, 100000
copy, based_1d_strategy, uint32_t,  1.0840, 200000
copy, based_1d_strategy, uint32_t,  1.0771, 500000
copy, based_1d_strategy, uint32_t,  1.0786, 1000000

copy, based_1d_strategy, uint64_t,  1.0105, 100
copy, based_1d_strategy, uint64_t,  1.0578, 200
copy, based_1d_strategy, uint64_t,  1.0790, 500
copy, based_1d_strategy, uint64_t,  1.0940, 1000
copy, based_1d_strategy, uint64_t,  1.1091, 2000
copy, based_1d_strategy, uint64_t,  1.0943, 5000
copy, based_1d_strategy, uint64_t,  1.0811, 10000
copy, based_1d_strategy, uint64_t,  1.0710, 20000
copy, based_1d_strategy, uint64_t,  1.0490, 50000
copy, based_1d_strategy, uint64_t,  1.0369, 100000
copy, based_1d_strategy, uint64_t,  1.0505, 200000
copy, based_1d_strategy, uint64_t,  1.0457, 500000
copy, based_1d_strategy, uint64_t,  1.0325, 1000000

copy, based_1d_strategy, string,  1.0443, 100
copy, based_1d_strategy, string,  1.0404, 200
copy, based_1d_strategy, string,  1.0506, 500
copy, based_1d_strategy, string,  1.0571, 1000
copy, based_1d_strategy, string,  1.0887, 2000
copy, based_1d_strategy, string,  1.1646, 5000
copy, based_1d_strategy, string,  1.1676, 10000
copy, based_1d_strategy, string,  1.1516, 20000
copy, based_1d_strategy, string,  1.1514, 50000
copy, based_1d_strategy, string,  0.9832, 100000
copy, based_1d_strategy, string,  0.9779, 200000
copy, based_1d_strategy, string,  1.0627, 500000
copy, based_1d_strategy, string,  1.1833, 1000000

copy, based_1d_strategy, test_struct,  1.0038, 100
copy, based_1d_strategy, test_struct,  1.0067, 200
copy, based_1d_strategy, test_struct,  1.1084, 500
copy, based_1d_strategy, test_struct,  1.0455, 1000
copy, based_1d_strategy, test_struct,  1.1680, 2000
copy, based_1d_strategy, test_struct,  0.9976, 5000
copy, based_1d_strategy, test_struct,  1.0020, 10000
copy, based_1d_strategy, test_struct,  0.9907, 20000
copy, based_1d_strategy, test_struct,  1.0122, 50000
copy, based_1d_strategy, test_struct,  1.0035, 100000
copy, based_1d_strategy, test_struct,  0.9971, 200000
copy, based_1d_strategy, test_struct,  0.9730, 500000
copy, based_1d_strategy, test_struct,  0.9491, 1000000

copy, offset_strategy, uint32_t,  1.0002, 100
copy, offset_strategy, uint32_t,  0.9962, 200
copy, offset_strategy, uint32_t,  1.0002, 500
copy, offset_strategy, uint32_t,  0.9998, 1000
copy, offset_strategy, uint32_t,  1.0008, 2000
copy, offset_strategy, uint32_t,  0.9975, 5000
copy, offset_strategy, uint32_t,  1.0002, 10000
copy, offset_strategy, uint32_t,  0.9964, 20000
copy, offset_strategy, uint32_t,  0.9997, 50000
copy, offset_strategy, uint32_t,  0.9968, 100000
copy, offset_strategy, uint32_t,  0.9962, 200000
copy, offset_strategy, uint32_t,  0.9992, 500000
copy, offset_strategy, uint32_t,  1.0006, 1000000

copy, offset_strategy, uint64_t,  1.0573, 100
copy, offset_strategy, uint64_t,  1.0562, 200
copy, offset_strategy, uint64_t,  1.0642, 500
copy, offset_strategy, uint64_t,  1.0617, 1000
copy, offset_strategy, uint64_t,  1.0902, 2000
copy, offset_strategy, uint64_t,  1.0939, 5000
copy, offset_strategy, uint64_t,  1.0886, 10000
copy, offset_strategy, uint64_t,  1.0988, 20000
copy, offset_strategy, uint64_t,  1.0950, 50000
copy, offset_strategy, uint64_t,  1.0966, 100000
copy, offset_strategy, uint64_t,  1.0931, 200000
copy, offset_strategy, uint64_t,  1.0963, 500000
copy, offset_strategy, uint64_t,  1.0903, 1000000

copy, offset_strategy, string,  1.0518, 100
copy, offset_strategy, string,  1.0549, 200
copy, offset_strategy, string,  1.0802, 500
copy, offset_strategy, string,  1.1400, 1000
