/usr/local/clang/4.0.0/bin/clang++
/usr/local/clang/4.0.0/lib:/usr/local/gcc/6.3.0/lib:/usr/local/gcc/6.3.0/lib64
copy, wrapper_strategy, uint32_t,  0.9819, 100
copy, wrapper_strategy, uint32_t,  0.9969, 200
copy, wrapper_strategy, uint32_t,  1.0002, 500
copy, wrapper_strategy, uint32_t,  0.9994, 1000
copy, wrapper_strategy, uint32_t,   1.000, 2000
copy, wrapper_strategy, uint32_t,  1.0000, 5000
copy, wrapper_strategy, uint32_t,  0.9995, 10000
copy, wrapper_strategy, uint32_t,  0.9992, 20000
copy, wrapper_strategy, uint32_t,  1.0000, 50000
copy, wrapper_strategy, uint32_t,  1.0002, 100000
copy, wrapper_strategy, uint32_t,  0.9999, 200000
copy, wrapper_strategy, uint32_t,  0.9995, 500000
copy, wrapper_strategy, uint32_t,  0.9999, 1000000

copy, wrapper_strategy, uint64_t,  0.9809, 100
copy, wrapper_strategy, uint64_t,  1.0006, 200
copy, wrapper_strategy, uint64_t,  1.0001, 500
copy, wrapper_strategy, uint64_t,  1.0002, 1000
copy, wrapper_strategy, uint64_t,   1.000, 2000
copy, wrapper_strategy, uint64_t,  0.9999, 5000
copy, wrapper_strategy, uint64_t,  0.9996, 10000
copy, wrapper_strategy, uint64_t,  0.9990, 20000
copy, wrapper_strategy, uint64_t,  0.9984, 50000
copy, wrapper_strategy, uint64_t,  0.9997, 100000
copy, wrapper_strategy, uint64_t,  0.9998, 200000
copy, wrapper_strategy, uint64_t,  0.9934, 500000
copy, wrapper_strategy, uint64_t,  0.9951, 1000000

copy, wrapper_strategy, string,  0.9985, 100
copy, wrapper_strategy, string,  0.9993, 200
copy, wrapper_strategy, string,  0.9981, 500
copy, wrapper_strategy, string,  0.9980, 1000
copy, wrapper_strategy, string,  0.9964, 2000
copy, wrapper_strategy, string,  0.9955, 5000
copy, wrapper_strategy, string,  0.9992, 10000
copy, wrapper_strategy, string,  1.0002, 20000
copy, wrapper_strategy, string,  0.9988, 50000
copy, wrapper_strategy, string,  0.9969, 100000
copy, wrapper_strategy, string,  0.9864, 200000
copy, wrapper_strategy, string,  0.9957, 500000
copy, wrapper_strategy, string,  0.9967, 1000000

