/usr/local/gcc/5.4.0/bin/g++
/usr/local/gcc/5.4.0/lib:/usr/local/gcc/5.4.0/lib64
copy, wrapper_strategy, uint32_t,  0.9998, 100
copy, wrapper_strategy, uint32_t,  0.9945, 200
copy, wrapper_strategy, uint32_t,  1.0010, 500
copy, wrapper_strategy, uint32_t,  1.0026, 1000
copy, wrapper_strategy, uint32_t,  1.0013, 2000
copy, wrapper_strategy, uint32_t,  0.9990, 5000
copy, wrapper_strategy, uint32_t,  0.9982, 10000
copy, wrapper_strategy, uint32_t,  1.0000, 20000
copy, wrapper_strategy, uint32_t,  0.9978, 50000
copy, wrapper_strategy, uint32_t,  0.9975, 100000
copy, wrapper_strategy, uint32_t,  0.9967, 200000
copy, wrapper_strategy, uint32_t,  0.9944, 500000
copy, wrapper_strategy, uint32_t,  0.9983, 1000000

copy, wrapper_strategy, uint64_t,  1.0004, 100
copy, wrapper_strategy, uint64_t,  0.9986, 200
copy, wrapper_strategy, uint64_t,  1.0010, 500
copy, wrapper_strategy, uint64_t,  1.0001, 1000
copy, wrapper_strategy, uint64_t,  0.9977, 2000
copy, wrapper_strategy, uint64_t,  0.9972, 5000
copy, wrapper_strategy, uint64_t,   1.000, 10000
copy, wrapper_strategy, uint64_t,  1.0046, 20000
copy, wrapper_strategy, uint64_t,  0.9951, 50000
copy, wrapper_strategy, uint64_t,  1.0005, 100000
copy, wrapper_strategy, uint64_t,  0.9934, 200000
copy, wrapper_strategy, uint64_t,  0.9949, 500000
copy, wrapper_strategy, uint64_t,  0.9942, 1000000

copy, wrapper_strategy, string,  0.9143, 100
copy, wrapper_strategy, string,  0.9102, 200
copy, wrapper_strategy, string,  0.9125, 500
copy, wrapper_strategy, string,  0.9145, 1000
copy, wrapper_strategy, string,  0.9136, 2000
copy, wrapper_strategy, string,  0.9161, 5000
copy, wrapper_strategy, string,  0.9178, 10000
copy, wrapper_strategy, string,  0.9187, 20000
copy, wrapper_strategy, string,  0.9194, 50000
copy, wrapper_strategy, string,  0.9154, 100000
copy, wrapper_strategy, string,  0.9171, 200000
copy, wrapper_strategy, string,  0.9261, 500000
copy, wrapper_strategy, string,  0.9258, 1000000

copy, wrapper_strategy, test_struct,  0.9970, 100
copy, wrapper_strategy, test_struct,  0.9954, 200
copy, wrapper_strategy, test_struct,  1.0005, 500
copy, wrapper_strategy, test_struct,  1.0001, 1000
copy, wrapper_strategy, test_struct,  0.9977, 2000
copy, wrapper_strategy, test_struct,  0.9827, 5000
copy, wrapper_strategy, test_struct,  0.9944, 10000
copy, wrapper_strategy, test_struct,  0.9935, 20000
copy, wrapper_strategy, test_struct,  0.9083, 50000
copy, wrapper_strategy, test_struct,  0.9369, 100000
copy, wrapper_strategy, test_struct,  0.9156, 200000
copy, wrapper_strategy, test_struct,  0.9823, 500000
copy, wrapper_strategy, test_struct,  0.9940, 1000000

copy, based_2dxl_strategy, uint32_t,  1.0094, 100
copy, based_2dxl_strategy, uint32_t,  1.0046, 200
copy, based_2dxl_strategy, uint32_t,  1.0004, 500
copy, based_2dxl_strategy, uint32_t,  0.9998, 1000
copy, based_2dxl_strategy, uint32_t,  0.9998, 2000
copy, based_2dxl_strategy, uint32_t,  0.9996, 5000
copy, based_2dxl_strategy, uint32_t,  0.9988, 10000
copy, based_2dxl_strategy, uint32_t,  0.9996, 20000
copy, based_2dxl_strategy, uint32_t,  1.0008, 50000
copy, based_2dxl_strategy, uint32_t,  1.0016, 100000
copy, based_2dxl_strategy, uint32_t,  1.0017, 200000
copy, based_2dxl_strategy, uint32_t,  0.9974, 500000
copy, based_2dxl_strategy, uint32_t,  1.0001, 1000000

copy, based_2dxl_strategy, uint64_t,  1.0037, 100
copy, based_2dxl_strategy, uint64_t,  1.0049, 200
copy, based_2dxl_strategy, uint64_t,  1.0035, 500
copy, based_2dxl_strategy, uint64_t,  1.0075, 1000
copy, based_2dxl_strategy, uint64_t,  1.0012, 2000
copy, based_2dxl_strategy, uint64_t,  1.0013, 5000
copy, based_2dxl_strategy, uint64_t,  0.9986, 10000
copy, based_2dxl_strategy, uint64_t,  0.9880, 20000
copy, based_2dxl_strategy, uint64_t,  0.9783, 50000
copy, based_2dxl_strategy, uint64_t,  0.9764, 100000
copy, based_2dxl_strategy, uint64_t,  0.9882, 200000
copy, based_2dxl_strategy, uint64_t,  0.9867, 500000
copy, based_2dxl_strategy, uint64_t,  0.9037, 1000000

copy, based_2dxl_strategy, string,  0.9168, 100
copy, based_2dxl_strategy, string,  0.9189, 200
copy, based_2dxl_strategy, string,  0.9141, 500
copy, based_2dxl_strategy, string,  0.9159, 1000
copy, based_2dxl_strategy, string,  0.9170, 2000
copy, based_2dxl_strategy, string,  0.9198, 5000
copy, based_2dxl_strategy, string,  0.9213, 10000
copy, based_2dxl_strategy, string,  0.9211, 20000
copy, based_2dxl_strategy, string,  0.9211, 50000
copy, based_2dxl_strategy, string,  0.9207, 100000
copy, based_2dxl_strategy, string,  0.9252, 200000
copy, based_2dxl_strategy, string,  0.9308, 500000
copy, based_2dxl_strategy, string,  0.9306, 1000000

copy, based_2dxl_strategy, test_struct,  1.0020, 100
copy, based_2dxl_strategy, test_struct,  1.0002, 200
copy, based_2dxl_strategy, test_struct,  1.0002, 500
copy, based_2dxl_strategy, test_struct,  1.0003, 1000
copy, based_2dxl_strategy, test_struct,  0.9997, 2000
copy, based_2dxl_strategy, test_struct,  0.9668, 5000
copy, based_2dxl_strategy, test_struct,  0.9681, 10000
copy, based_2dxl_strategy, test_struct,  1.0025, 20000
copy, based_2dxl_strategy, test_struct,  0.9978, 50000
copy, based_2dxl_strategy, test_struct,  0.9526, 100000
copy, based_2dxl_strategy, test_struct,  0.9381, 200000
copy, based_2dxl_strategy, test_struct,  1.0545, 500000
copy, based_2dxl_strategy, test_struct,  0.9879, 1000000

copy, based_2d_strategy, uint32_t,  1.0035, 100
copy, based_2d_strategy, uint32_t,  1.0030, 200
copy, based_2d_strategy, uint32_t,  1.0191, 500
copy, based_2d_strategy, uint32_t,  1.0013, 1000
copy, based_2d_strategy, uint32_t,  1.0029, 2000
copy, based_2d_strategy, uint32_t,  1.0016, 5000
copy, based_2d_strategy, uint32_t,  1.0005, 10000
copy, based_2d_strategy, uint32_t,  0.9984, 20000
copy, based_2d_strategy, uint32_t,  0.9923, 50000
copy, based_2d_strategy, uint32_t,  0.9906, 100000
copy, based_2d_strategy, uint32_t,  0.9794, 200000
copy, based_2d_strategy, uint32_t,  0.9672, 500000
copy, based_2d_strategy, uint32_t,  0.9714, 1000000

copy, based_2d_strategy, uint64_t,  1.0054, 100
copy, based_2d_strategy, uint64_t,  1.0013, 200
copy, based_2d_strategy, uint64_t,  1.0045, 500
copy, based_2d_strategy, uint64_t,  1.0077, 1000
copy, based_2d_strategy, uint64_t,  1.0054, 2000
copy, based_2d_strategy, uint64_t,  1.0113, 5000
copy, based_2d_strategy, uint64_t,  1.0106, 10000
copy, based_2d_strategy, uint64_t,  0.9779, 20000
copy, based_2d_strategy, uint64_t,  0.9733, 50000
copy, based_2d_strategy, uint64_t,  0.9725, 100000
copy, based_2d_strategy, uint64_t,  0.9774, 200000
copy, based_2d_strategy, uint64_t,  0.9738, 500000
copy, based_2d_strategy, uint64_t,  0.9992, 1000000

copy, based_2d_strategy, string,  0.9632, 100
copy, based_2d_strategy, string,  0.9643, 200
copy, based_2d_strategy, string,  0.9605, 500
copy, based_2d_strategy, string,  0.9555, 1000
copy, based_2d_strategy, string,  0.9637, 2000
copy, based_2d_strategy, string,  0.9619, 5000
copy, based_2d_strategy, string,  0.9650, 10000
copy, based_2d_strategy, string,  0.9645, 20000
copy, based_2d_strategy, string,  0.9651, 50000
copy, based_2d_strategy, string,  0.9646, 100000
copy, based_2d_strategy, string,  0.9650, 200000
copy, based_2d_strategy, string,  0.9676, 500000
copy, based_2d_strategy, string,  0.9694, 1000000

copy, based_2d_strategy, test_struct,  1.2394, 100
copy, based_2d_strategy, test_struct,  1.2210, 200
copy, based_2d_strategy, test_struct,  0.9987, 500
copy, based_2d_strategy, test_struct,  0.9980, 1000
copy, based_2d_strategy, test_struct,  0.9993, 2000
copy, based_2d_strategy, test_struct,  0.9961, 5000
copy, based_2d_strategy, test_struct,  0.9965, 10000
copy, based_2d_strategy, test_struct,  0.9911, 20000
copy, based_2d_strategy, test_struct,  0.9685, 50000
copy, based_2d_strategy, test_struct,  0.9851, 100000
copy, based_2d_strategy, test_struct,  0.9869, 200000
copy, based_2d_strategy, test_struct,  0.9462, 500000
copy, based_2d_strategy, test_struct,  0.9237, 1000000

copy, based_1d_strategy, uint32_t,  1.0067, 100
copy, based_1d_strategy, uint32_t,  1.0134, 200
copy, based_1d_strategy, uint32_t,  1.0035, 500
copy, based_1d_strategy, uint32_t,  1.0049, 1000
copy, based_1d_strategy, uint32_t,  1.0062, 2000
copy, based_1d_strategy, uint32_t,  1.0003, 5000
copy, based_1d_strategy, uint32_t,  1.0004, 10000
copy, based_1d_strategy, uint32_t,  1.0009, 20000
copy, based_1d_strategy, uint32_t,  1.0006, 50000
copy, based_1d_strategy, uint32_t,  1.0005, 100000
copy, based_1d_strategy, uint32_t,  0.9982, 200000
copy, based_1d_strategy, uint32_t,  0.9910, 500000
copy, based_1d_strategy, uint32_t,  0.9911, 1000000

copy, based_1d_strategy, uint64_t,  1.0115, 100
copy, based_1d_strategy, uint64_t,  1.0130, 200
copy, based_1d_strategy, uint64_t,  1.0111, 500
copy, based_1d_strategy, uint64_t,  1.0084, 1000
copy, based_1d_strategy, uint64_t,  1.0069, 2000
copy, based_1d_strategy, uint64_t,  1.0040, 5000
copy, based_1d_strategy, uint64_t,  1.0051, 10000
copy, based_1d_strategy, uint64_t,  0.9895, 20000
copy, based_1d_strategy, uint64_t,  0.9803, 50000
copy, based_1d_strategy, uint64_t,  0.9766, 100000
copy, based_1d_strategy, uint64_t,  0.9795, 200000
copy, based_1d_strategy, uint64_t,  0.9872, 500000
copy, based_1d_strategy, uint64_t,  0.9966, 1000000

copy, based_1d_strategy, string,  0.9336, 100
copy, based_1d_strategy, string,  0.9327, 200
copy, based_1d_strategy, string,  0.9339, 500
copy, based_1d_strategy, string,  0.9341, 1000
copy, based_1d_strategy, string,  0.9335, 2000
copy, based_1d_strategy, string,  0.9353, 5000
copy, based_1d_strategy, string,  0.9368, 10000
copy, based_1d_strategy, string,  0.9371, 20000
copy, based_1d_strategy, string,  0.9356, 50000
copy, based_1d_strategy, string,  0.9385, 100000
copy, based_1d_strategy, string,  0.9404, 200000
copy, based_1d_strategy, string,  0.9393, 500000
copy, based_1d_strategy, string,  0.9416, 1000000

copy, based_1d_strategy, test_struct,  1.3226, 100
copy, based_1d_strategy, test_struct,  1.2311, 200
copy, based_1d_strategy, test_struct,  0.9960, 500
copy, based_1d_strategy, test_struct,  0.9971, 1000
copy, based_1d_strategy, test_struct,  1.0009, 2000
copy, based_1d_strategy, test_struct,  0.9939, 5000
copy, based_1d_strategy, test_struct,  1.0044, 10000
