copy, wrapper_strategy, uint32_t,  0.9951, 100
copy, wrapper_strategy, uint32_t,  0.9944, 200
copy, wrapper_strategy, uint32_t,  1.0264, 500
copy, wrapper_strategy, uint32_t,  1.0195, 1000
copy, wrapper_strategy, uint32_t,  1.0195, 2000
copy, wrapper_strategy, uint32_t,  1.0233, 5000
copy, wrapper_strategy, uint32_t,  1.0231, 10000
copy, wrapper_strategy, uint32_t,  1.0234, 20000
copy, wrapper_strategy, uint32_t,  1.0215, 50000
copy, wrapper_strategy, uint32_t,  1.0222, 100000
copy, wrapper_strategy, uint32_t,  1.0109, 200000
copy, wrapper_strategy, uint32_t,  1.0554, 500000
copy, wrapper_strategy, uint32_t,  1.0514, 1000000

copy, wrapper_strategy, uint64_t,  0.9977, 100
copy, wrapper_strategy, uint64_t,  1.0230, 200
copy, wrapper_strategy, uint64_t,  1.0315, 500
copy, wrapper_strategy, uint64_t,  1.0312, 1000
copy, wrapper_strategy, uint64_t,  1.0315, 2000
copy, wrapper_strategy, uint64_t,  1.0349, 5000
copy, wrapper_strategy, uint64_t,  1.0363, 10000
copy, wrapper_strategy, uint64_t,  1.0190, 20000
copy, wrapper_strategy, uint64_t,  1.0171, 50000
copy, wrapper_strategy, uint64_t,  1.0186, 100000
copy, wrapper_strategy, uint64_t,  1.1772, 200000
copy, wrapper_strategy, uint64_t,  1.0101, 500000
copy, wrapper_strategy, uint64_t,  0.9886, 1000000

copy, wrapper_strategy, string,  1.0028, 100
copy, wrapper_strategy, string,  1.0052, 200
copy, wrapper_strategy, string,  1.0049, 500
copy, wrapper_strategy, string,  1.0037, 1000
copy, wrapper_strategy, string,  1.0044, 2000
copy, wrapper_strategy, string,  1.0051, 5000
copy, wrapper_strategy, string,  1.0048, 10000
copy, wrapper_strategy, string,  1.0045, 20000
copy, wrapper_strategy, string,  1.0060, 50000
copy, wrapper_strategy, string,  0.9965, 100000
copy, wrapper_strategy, string,  1.0052, 200000
copy, wrapper_strategy, string,  1.0061, 500000
copy, wrapper_strategy, string,  1.0044, 1000000

copy, wrapper_strategy, test_struct,  1.5990, 100
copy, wrapper_strategy, test_struct,  1.6611, 200
copy, wrapper_strategy, test_struct,  1.0283, 500
copy, wrapper_strategy, test_struct,  1.0340, 1000
copy, wrapper_strategy, test_struct,  1.0282, 2000
copy, wrapper_strategy, test_struct,  1.0090, 5000
copy, wrapper_strategy, test_struct,  0.9929, 10000
copy, wrapper_strategy, test_struct,  0.9806, 20000
copy, wrapper_strategy, test_struct,  0.9178, 50000
copy, wrapper_strategy, test_struct,  0.9030, 100000
copy, wrapper_strategy, test_struct,  0.9855, 200000
copy, wrapper_strategy, test_struct,  1.0017, 500000
copy, wrapper_strategy, test_struct,  1.0028, 1000000

copy, based_2dxl_strategy, uint32_t,  0.8899, 100
copy, based_2dxl_strategy, uint32_t,  0.8601, 200
copy, based_2dxl_strategy, uint32_t,  0.8885, 500
copy, based_2dxl_strategy, uint32_t,  1.0287, 1000
